,id,type,commentscount,likescount,ig_timestamp,videoviewcount,videoplaycount,videoduration,row_index,hashtag_index,index_num,hashtag
116,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,116,767,767,ExpandOpportunity
117,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,117,786,786,ExpandOpportunity
118,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,118,795,795,ExpandOpportunity
119,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,119,799,799,ExpandOpportunity
120,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,120,811,811,ExpandOpportunity
121,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,121,816,816,ExpandOpportunity
122,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,122,821,821,ExpandOpportunity
123,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,123,831,831,ExpandOpportunity
124,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,124,835,835,ExpandOpportunity
125,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,125,844,844,ExpandOpportunity
126,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,126,847,847,ExpandOpportunity
127,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,127,854,854,ExpandOpportunity
128,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,128,859,859,ExpandOpportunity
129,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,129,867,867,ExpandOpportunity
130,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,130,871,871,ExpandOpportunity
131,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,131,880,880,ExpandOpportunity
132,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,132,894,894,ExpandOpportunity
133,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,133,903,903,ExpandOpportunity
134,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,134,909,909,ExpandOpportunity
135,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,135,922,922,ExpandOpportunity
136,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,136,931,931,ExpandOpportunity
137,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,137,938,938,ExpandOpportunity
138,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,138,947,947,ExpandOpportunity
139,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,139,951,951,ExpandOpportunity
140,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,140,959,959,ExpandOpportunity
141,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,141,966,966,ExpandOpportunity
142,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,142,973,973,ExpandOpportunity
143,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,143,978,978,ExpandOpportunity
144,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,144,985,985,ExpandOpportunity
145,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,145,993,993,ExpandOpportunity
146,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,146,1000,1000,ExpandOpportunity
147,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,147,1003,1003,ExpandOpportunity
