,Date,User,Tweet,Likes,Comments,Retweets,Views
56,2022-12-26 18:02:20+00:00,TheKnowledgeHou,"The Knowledge House extends warm greetings and a joyous #Kwanzaa to all who celebrate. May this occasion be full of cheer and reflection.

#ExpandOpportunity #TistheSeason #kwanzaa #NguzoSaba #umoja #kujichagulia #ujima #ujamaa #nia #kuumba #imani https://t.co/UplPdamyZR",1,0,1,325.0
57,2022-12-24 18:01:56+00:00,TheKnowledgeHou,"#TKH wishes all of you a very #MerryChristmas and Happy holidays to all your family.

#Christmas #ExpandOpportunity #HappyHolidays https://t.co/lIJRhqGLEX",0,0,0,55.0
58,2022-12-23 19:16:18+00:00,TheKnowledgeHou,"Join us at Sankofa Haus for their 1st annual #NewYearEve Celebration!
All-night open bar &amp; hors d’oeuvres by Seasoned &amp; Spiced, &amp; we'll be tuned into the Times Square Countdown!
Dec 31st | 9pm - 3am
2422 Third ave. Bronx, NY 10454

RSVP: https://t.co/o1jZsdekkr

#NYE #NewYears",1,0,0,70.0
59,2022-12-22 20:23:13+00:00,TheKnowledgeHou,"“The thing that makes TKH so special is all of us.” Every student, staff, Board or Advisory member, tutor, and teacher come together to support our mission. And, of course, those who invest in our programs. Donate today.

#ExpandOpportunity #GivingSeason #coding #learntocode https://t.co/GGNaX7sGJT",2,0,0,57.0
60,2022-12-21 19:14:58+00:00,TheKnowledgeHou,"Thank you all who came to #mickeyfactz #listeningparty last Thursday! “It’s Only Us Here” is out now! Let’s keep supporting artists like @mickeyfactz, who are always giving back to the community.

#TKHMoments #ExpandOpportunity #shade45 #nychiphop #BronxEvents https://t.co/xmaApIETBJ",1,0,0,69.0
61,2022-12-20 19:38:29+00:00,TheKnowledgeHou,"In starting our cohorts this year, #Atlanta was the most successful! We're excited to continue to support Fellows like Aaron across #ATL in 2023 &amp; beyond. Invest today!

https://t.co/cuZ8eA1kKB
#ExpandOpportunity #coding #learntocode #atlantatech #POC #TechIndustry #ATLBlackTech",1,0,0,44.0
62,2022-12-19 19:31:08+00:00,TheKnowledgeHou,"TKH is a solution to this economic shift and has a mission to make sure low-income communities are prepared and have access to meet this technological shift and workforce need. Invest today: https://t.co/Hm1mgIc331
#ExpandOpportunity #GivingWeek #GivingSeason #Donate https://t.co/Xf5PXgigxE",1,0,0,52.0
63,2022-12-13 19:36:13+00:00,TheKnowledgeHou,"Invest in Fellows like Edward to gain the #skills,#career coaching,#certifications, &amp; wrap-around support they need to be successful throughout their journey to secure &amp; sustain a career in #tech.
https://t.co/rWK4TebD7Y
#ExpandOpportunity #GivingWeek #GivingTuesday #GivingSeason",1,0,0,
64,2022-12-07 18:36:06+00:00,TheKnowledgeHou,"Your support can help current Fellows like Burnaur make it to the finish line. A bi-weekly or monthly gift can help provide a Fellow with what they need to advance their careers in the #techsector.

https://t.co/EBrkzOG2w7

#ExpandOpportunity #GivingWeek #NonProfit #GivingSeason",2,0,0,
65,2022-12-03 17:01:50+00:00,TheKnowledgeHou,"Building strong #communities is a team sport, which is why we’re honored @GoldmanSachs has chosen TKH to be part of their 2022 cohort of Community Development Champions! We're so proud to be #GSCommunityDevelopmentChampions.
https://t.co/KnqRkWOTJY https://t.co/FQCB1pMnEJ",1,0,0,
66,2022-12-02 18:45:39+00:00,TheKnowledgeHou,"Thanks @Accenture, for hosting us at our first Corporate Partners Reception! We look forward to empowering Black&amp;Brown low-income #jobseekers into #TechRoles w/ support of corporate partners.
https://t.co/AoOn2xyJnU
#GivingWeek #GivingSeason #TechTalent
@abbyabbysol @MsSelenaHill",1,0,0,
67,2022-12-01 20:14:00+00:00,TheKnowledgeHou,"Congrats to our #StaffoftheMonth: Antoinette Gregg!
Antoinette, TKH's Associate Director for Development &amp; External Affairs, has been a crucial member in advancing the development of the organization &amp; is always open to supporting anyone who needs help.
#ExpandOpportunity #POC https://t.co/VaVZmPOXtg",1,0,0,
68,2022-11-30 19:00:18+00:00,TheKnowledgeHou,"With or without foundational skills or experience, if you want to get into #tech or use that #HouseOfKnowledge for something else, we are here to help!
Contribute today: https://t.co/Hm1mgIc331

#ExpandOpportunity #GivingWeek #NonProfit #GivingSeason #techjobs #CyberSecurity https://t.co/8eJQLcyI3M",2,0,1,
