index,id,hashtag_index
513,2.9802142106384717e+18,250
514,2.9802142106384717e+18,251
515,2.9802142106384717e+18,249
516,2.9852273644308756e+18,252
517,2.9852273644308756e+18,253
518,2.983114433902964e+18,0
519,2.983114433902964e+18,254
520,2.983114433902964e+18,8
521,2.983114433902964e+18,238
522,2.983114433902964e+18,52
523,2.983114433902964e+18,53
524,2.983114433902964e+18,51
525,2.983114433902964e+18,241
526,2.983114433902964e+18,117
527,2.983114433902964e+18,234
528,2.983114433902964e+18,98
529,2.983114433902964e+18,90
530,2.9838755947953756e+18,255
531,2.9838755947953756e+18,99
532,2.9838755947953756e+18,189
533,2.9838755947953756e+18,8
534,2.9838755947953756e+18,0
535,2.9838755947953756e+18,46
536,2.9838755947953756e+18,104
537,2.9787052494186563e+18,256
538,2.9787052494186563e+18,51
539,2.9787052494186563e+18,56
540,2.9787052494186563e+18,88
541,2.9787052494186563e+18,26
542,2.9787052494186563e+18,8
543,2.9787052494186563e+18,238
544,2.9787052494186563e+18,241
545,2.9787052494186563e+18,117
546,2.9787052494186563e+18,234
547,2.9787052494186563e+18,242
548,2.9787052494186563e+18,243
549,2.974416535762563e+18,0
550,2.974416535762563e+18,8
551,2.974416535762563e+18,257
552,2.974416535762563e+18,258
553,2.974416535762563e+18,117
554,2.974416535762563e+18,259
555,2.974416535762563e+18,260
556,2.974416535762563e+18,261
557,2.974416535762563e+18,47
558,2.974416535762563e+18,46
559,2.974416535762563e+18,262
560,2.97733249959646e+18,8
561,2.97733249959646e+18,238
562,2.97733249959646e+18,52
563,2.97733249959646e+18,53
564,2.97733249959646e+18,51
565,2.97733249959646e+18,241
566,2.97733249959646e+18,117
567,2.97733249959646e+18,234
568,2.982329264622213e+18,241
569,2.982329264622213e+18,263
570,2.982329264622213e+18,8
571,2.982329264622213e+18,238
572,2.982329264622213e+18,52
573,2.982329264622213e+18,53
574,2.982329264622213e+18,51
575,2.982329264622213e+18,117
576,2.982329264622213e+18,234
577,3.0041021433467474e+18,8
578,3.0041021433467474e+18,52
579,3.0041021433467474e+18,53
580,3.0041021433467474e+18,51
581,3.0041021433467474e+18,50
582,3.0041021433467474e+18,209
583,3.0041021433467474e+18,221
584,2.9692897563120604e+18,255
585,2.9692897563120604e+18,264
586,2.9692897563120604e+18,265
587,2.9692897563120604e+18,266
588,2.9692897563120604e+18,25
589,2.9692897563120604e+18,117
590,2.9692897563120604e+18,239
591,2.9692897563120604e+18,267
592,2.973745342576331e+18,161
593,2.973745342576331e+18,268
594,2.973745342576331e+18,4
595,2.973745342576331e+18,255
596,2.973745342576331e+18,264
597,2.973745342576331e+18,265
598,2.973745342576331e+18,167
599,2.973745342576331e+18,269
600,2.973745342576331e+18,270
601,2.9634990366490844e+18,271
602,2.9634990366490844e+18,8
603,2.9634990366490844e+18,272
604,2.9634990366490844e+18,57
605,2.9634990366490844e+18,28
606,2.967255938251524e+18,8
607,2.967255938251524e+18,25
608,2.967255938251524e+18,273
609,2.967255938251524e+18,47
610,2.967255938251524e+18,46
611,2.967255938251524e+18,262
612,2.967255938251524e+18,257
613,2.967255938251524e+18,274
614,2.967965958590538e+18,53
615,2.967965958590538e+18,56
616,2.967965958590538e+18,0
617,2.967965958590538e+18,275
618,2.967965958590538e+18,276
619,2.967965958590538e+18,265
620,2.967965958590538e+18,46
621,2.967965958590538e+18,277
622,2.967965958590538e+18,278
623,2.967965958590538e+18,279
624,2.967965958590538e+18,280
625,2.956336646392173e+18,8
626,2.956336646392173e+18,281
627,2.964903578381291e+18,282
628,2.964903578381291e+18,0
629,2.964903578381291e+18,8
630,2.964903578381291e+18,108
631,2.964903578381291e+18,261
632,2.964903578381291e+18,117
633,2.964903578381291e+18,281
634,2.964903578381291e+18,47
635,2.964903578381291e+18,46
636,2.964903578381291e+18,262
637,2.9642462860482606e+18,161
638,2.9642462860482606e+18,8
639,2.9642462860482606e+18,281
640,2.9642462860482606e+18,52
641,2.9642462860482606e+18,56
642,2.9642462860482606e+18,51
643,2.9642462860482606e+18,0
644,2.9642462860482606e+18,98
645,2.9642462860482606e+18,108
646,2.9642462860482606e+18,117
647,2.9642462860482606e+18,90
648,2.9642462860482606e+18,31
649,2.9642462860482606e+18,73
650,2.9642462860482606e+18,257
651,2.9642462860482606e+18,46
652,2.9642462860482606e+18,102
653,2.9584409383815127e+18,12
654,2.9584409383815127e+18,283
655,2.9584409383815127e+18,284
656,2.9584409383815127e+18,8
657,2.9584409383815127e+18,285
658,2.9584409383815127e+18,117
659,2.9584409383815127e+18,286
660,2.969403132644139e+18,99
661,2.969403132644139e+18,287
662,2.969403132644139e+18,104
663,2.969403132644139e+18,117
664,2.969403132644139e+18,288
665,2.969403132644139e+18,105
666,2.969403132644139e+18,289
667,2.969403132644139e+18,290
668,2.969403132644139e+18,291
669,2.969403132644139e+18,292
670,3.002682300063841e+18,8
671,3.002682300063841e+18,117
672,3.002682300063841e+18,234
673,3.002682300063841e+18,20
674,3.002682300063841e+18,235
675,3.002682300063841e+18,293
676,3.002682300063841e+18,46
677,3.002682300063841e+18,4
678,3.002682300063841e+18,294
679,3.002682300063841e+18,52
680,2.957745976238888e+18,281
681,2.957745976238888e+18,28
682,2.957745976238888e+18,295
683,2.9389093312499896e+18,296
684,2.9389093312499896e+18,0
685,2.9389093312499896e+18,265
686,2.9389093312499896e+18,235
687,2.9389093312499896e+18,297
688,2.9389093312499896e+18,298
689,2.9389093312499896e+18,63
690,2.9527617842937503e+18,6
691,2.9527617842937503e+18,80
692,2.9527617842937503e+18,81
693,2.9527617842937503e+18,82
694,2.9527617842937503e+18,2
695,2.9527617842937503e+18,83
696,2.9527617842937503e+18,84
697,2.9527617842937503e+18,85
698,2.9527617842937503e+18,13
699,2.9527617842937503e+18,86
700,2.9418918994136724e+18,299
701,2.9418918994136724e+18,297
702,2.9418918994136724e+18,298
703,2.9418918994136724e+18,63
704,2.9418918994136724e+18,265
705,2.9418918994136724e+18,19
706,2.9418918994136724e+18,56
707,2.953397360727253e+18,276
708,2.953397360727253e+18,0
709,2.953397360727253e+18,62
710,2.953397360727253e+18,295
711,2.953397360727253e+18,161
712,2.953397360727253e+18,26
713,2.953397360727253e+18,52
714,2.953397360727253e+18,51
715,2.953397360727253e+18,53
716,2.953397360727253e+18,300
717,2.953397360727253e+18,8
718,2.953397360727253e+18,117
719,2.953397360727253e+18,165
720,2.953397360727253e+18,46
721,2.9360288062550513e+18,301
722,2.9360288062550513e+18,26
723,2.9360288062550513e+18,265
724,2.9360288062550513e+18,302
725,2.9360288062550513e+18,303
726,2.9360288062550513e+18,108
727,2.9360288062550513e+18,63
728,2.9411516835523133e+18,304
729,2.9411516835523133e+18,0
730,2.9411516835523133e+18,5
731,2.9411516835523133e+18,98
732,2.9411516835523133e+18,8
733,2.9411516835523133e+18,218
734,2.943944423038985e+18,299
735,2.943944423038985e+18,8
736,2.943944423038985e+18,73
737,2.943944423038985e+18,57
738,2.943944423038985e+18,28
739,2.9540924267094584e+18,305
740,2.9540924267094584e+18,300
741,2.9540924267094584e+18,8
742,2.9540924267094584e+18,281
743,2.9540924267094584e+18,306
744,2.9540924267094584e+18,25
745,2.9540924267094584e+18,307
746,2.9540924267094584e+18,308
747,2.9540924267094584e+18,309
748,2.9540924267094584e+18,310
749,2.9540924267094584e+18,311
750,2.9540924267094584e+18,312
751,2.9540924267094584e+18,313
752,2.94331084692867e+18,99
753,2.94331084692867e+18,299
754,2.94331084692867e+18,314
755,2.94331084692867e+18,8
756,2.94331084692867e+18,315
757,2.94331084692867e+18,316
758,2.9316691741752617e+18,19
759,2.9316691741752617e+18,7
760,2.9316691741752617e+18,8
761,2.9316691741752617e+18,317
762,2.9316691741752617e+18,167
763,2.9316691741752617e+18,318
764,2.9316691741752617e+18,11
765,2.9548169766025523e+18,319
766,2.9548169766025523e+18,123
767,2.9548169766025523e+18,8
768,2.9548169766025523e+18,320
769,2.9548169766025523e+18,321
770,2.9548169766025523e+18,55
771,2.933872302295009e+18,322
772,2.933872302295009e+18,323
773,2.933872302295009e+18,324
774,2.933872302295009e+18,165
775,2.933872302295009e+18,46
776,2.938177292851069e+18,6
777,2.938177292851069e+18,80
778,2.938177292851069e+18,81
779,2.938177292851069e+18,82
780,2.938177292851069e+18,2
781,2.938177292851069e+18,83
782,2.938177292851069e+18,84
783,2.938177292851069e+18,85
784,2.938177292851069e+18,13
785,2.938177292851069e+18,86
786,2.924396284996681e+18,8
787,2.924396284996681e+18,57
788,2.924396284996681e+18,325
789,2.924396284996681e+18,0
790,2.928711162612513e+18,257
791,2.928711162612513e+18,326
792,2.928711162612513e+18,327
793,2.928711162612513e+18,328
794,2.928711162612513e+18,47
795,2.928711162612513e+18,8
796,2.928711162612513e+18,46
797,2.916403861582109e+18,322
798,2.916403861582109e+18,329
799,2.916403861582109e+18,8
800,2.928039589033916e+18,56
801,2.928039589033916e+18,330
802,2.928039589033916e+18,331
803,2.928039589033916e+18,53
804,2.928039589033916e+18,54
805,2.928039589033916e+18,332
806,2.928039589033916e+18,333
807,2.928039589033916e+18,334
808,2.922927083690136e+18,19
809,2.922927083690136e+18,26
810,2.922927083690136e+18,0
811,2.922927083690136e+18,8
812,2.922927083690136e+18,335
813,2.922927083690136e+18,336
